,text
123,apple inc  is doomed   aapl dropped by 1 54 ! currently priced at 113 3    aapl
124,  wants you to stop taking vertical photos   via 
125,props for  itc app review team for reviewing metadata rejected resubmission in just 2 hours! thanks!
126, yall some hoes
127,what's at the core of  new  ios7? excellent updates for your phone's  mobilesecurity   mcafee   
128,thanks  for 'keep newer' when transferring files from a local hard drive to a server 
129,did you notice that  apps now say 'get' instead of 'free'? this change was due to alleged misleading labeling  
130,  it is very confusing u wonder if it means u are going to get a bill later for ur download please use free if it's free
131,"apple  loses ground to google  in education tablet sales  aapl  aapl 
"
132, what do i need to do if my mac has been really slow lately ?
133,rt  enjoying the introductions at the   connected launch event   some amazing  edtech leaders in the room    txed
134,your stupid as shit upgrade has ruined the god damned ide 
135,"you pieces of shit   
god damnit man!"
136,hey  how come i can't make genius bar appointments online anymore?
137,"what happened? rt  you pieces of shit   
god damnit man!"
138,awesome!  invented peanut butter sandwich technology for phones  
139,lol fuck you  i'm still not buying a new one   
140, has caused me so much pain today
141," as    apple  still struggles to  meet  iphone6 demand,  canaccord raises price      ( tuesday, 2  december) "
142,not cool      not cool  you just bait and switched me into paying for an upgrade to server after a 'free' upgd  to 10 10 1?
143,iphone shortages not helping radioshack as consumer sales plummet   aapl
144,"thestreet    android phones to dominate through 2018, while  ios phone revenue will dazzle  goog  aapl  "
145, can yall please send me my fuckin phone
146,anyone know how to fix this?  xcode  no simulators    tried complete reinstall  ios 
147,cnbctv    apple fighting monopoly allegations  aapl 
148,cnbctv    cramer   applewatch a dazzler  aapl  
149,cnbctv    cramer  trading  apple suckers game  aapl 
150,this is huge! my isp  is peering directly with     amp  others  getting 6ms ping response! 
151, make sd cards so we can add memory to our iphone because we all know you won't allow sd cards until you profit from it
152,"woah! 7  cashback from  store for  cybermonday deals at   ipads,  iphones,  mac and more "
153,google chromecast leapfrogs apple tv as the aging media player loses ground to rivals   aapl
154,my phone keeps fucking freezing 
155,when you can't hear people through your headphones thank you  for the headphones and 
156,i've been considering suing  for putting that shitty u2 album on my phone
157,  i believe it i bought an  fire tv for  69  you've lost another customer
158,"apple goes to trial over  1 billion digital music lawsuit in california  aapl  aapl 
"
159,rt  my phone keeps fucking freezing 
160,"  ikr! but u dont need to,bc i'll hopefully buy one on christmas if my grades are 17 20"
161,rt   damn i wish i could get u an iphone so we could imessage but i don't have enough money damn damm damn 
162," aapl android phones to dominate through 2018, while ios phone revenue will    "
163, need to sort this b llshit out with safari in yosemite! 'safari can not find server'  apple  macbook  yosemiteproblems  yosemite
164,  faces  1b lawsuit over ipod allegations    legal  tech  lawsuit
165, not happy with   backwards compatibility should be a given   it is for my other apps why not aperture?? money grab?
166,hey  love ya but  applecare low fi hold music is awful  would prefer to hear tips on using apple gear   better use of my hold time 
167,"apple's iphone 6 may face patent dispute from chinese vendor with look alike device  aapl  aapl 
"
168,"as a die hard  customer, i must say i am truly displeased with the customer service i was given yesterday   badservice  apple"
169,cnbctv    apple arguably most innovative company in world  pro  aapl 
170, plz kill verizon soooo i don't have weird apps and passcodes and synchronized locations on everything
171,rt   aapl i think it will be valued at 140 145s at next year death of steve jobs damaged  samsung more than apple  
172,strikes me as somewhat stupid that  have sent me a brand new iphone without the latest software on  so i can't restore my old stuff 
173, really needs to do something about these bullshit cords
174,5 gorgeous  iphone  apps with surprising designs and amazing visuals   bgr  aapl 
175, ??? my iphone 3 which has been sitting quietly for a year in a protective case just split open at the back 
176,yes  now is a perfect time to lock my screen and install a software update without asking   not
177,"me too  mt  as a die hard  customer, i am truly displeased with the customer service i was given yesterday   badservice"
178, agreed  have to give props to  for battery life on new iphones  it's so good   tl_chat
179, i hate the microphone shit on the imessage please take it the fuck off
180, apple in the dock   1 billion antitrust claim casts  stevejobs as conspirator  aapl 
181,"  hell yeah steve, stick it to the man!"
182,dear  i've been an apple user for over 20 years and can't remember a bug like this current safari on   fixit! 
183,"dear  
 
kindly fuck off with your  m4a format  
 
regards, 
music listeners everywhere "
184,     gt  a5  chipping in here  i am inspired by the iphone 6   takes incredible photos! pin sharp!
185,was pleased to meet a fellow tweep at   connected event!  a fellow  tbcoach practitioner  it was great to meet irl  txed
186, i can think of 100 reasons not to if your on a 4s  fuck 
187, also wtf  i dont even live in kirkby
188,"the  innovation sector has the largest multiplier effect when it comes to jobs!  employs 13,000, while creating 70,000 indirect jobs!"
189,there's a movie in my itunes match   icloud that i can't remove  actually it's a trailer  very annoying 
190,silver finish  the  applewatch places second before it's even out  via   aapl
191,siri be on that bull shit telling me it's not gonna rain and shit da fuck i pay for her for 
192, give me a job so i never have to suffer through windows os for personal nor work use
193,  unseats  in u s  classrooms as  chromebooks beat  ipads
194," is the  of shopping  you have paid, but you may or not receive your goods (or flight)   far better at  custserv"
195,changing words that aren't even misspelled like where do they really do that at???? i would really like to know  
196,russia could ban  apple inc  iphone for lawmakers  report    aapl
197,  macmail on os x  yosemite is really giving me a hard time  is there an alternative email program out there?  yosemiteproblems
198,"russian lawmaker thinks the iphone is stealing state secrets  aapl  aapl 
"
199,autocorrect changes actual words to other words but when i spell an actual word wrong it doesn't correct it? fuck yall niggas 
200,macbook love today 
201, movie 'chef' so original  amp  well executed  reminded me of the days steve jobs dreaming up  and then created the  iphone
202,what the hell is this 5gbs of 'other' data on my phone 
203,"if i tweet about nandos my phone puts it in caps, i like the iphone six, it knows my favourite restaurant  good phone gg "
204, aapl steve jobs emails featured in apple ipod u s  antitrust trial   
205,"  named 'most desired brand' during  blackfriday  amp   cybermonday, beating  tech rival   via "
206, beating  in u s  education market amid ipad slowdown   neo
207, see not even have the courtesy to reply as i said should have stayed with  much better customer service from them
208, steve jobs to testify in  trial from beyond the grave 
209,2  at its announcement  supporters criticized  aapl for 'following' samsung into the large screen game 
210,thank you  for fixing the  swift sourcekit crashes in  xcode  )  life is better now! 
211,where da fuck is this middle finger emoji  so i can ignore my niggaz shit talk wit a single sign
212,so cool! apple patents iphone drop protection mechanism that changes device angle in freefall  aapl  applewatch 
213,sign of utterly broken wifi driver  my  air sitting on my lap i'm desperate enough to read my email on my android phone
214, aapl moving towards the  iot and more connectivity in your everyday life  rt  the future of apple 
215,  ipad  innovation  let us maintain what we enjoyed when we were young  via  
216,chinese smartphone maker claims  apple copied iphone 6 design     aapl  android
217," goes red for aids awareness  productred  fuckaids  
 
for every like i get this month a will donate a quarter"
218,rt  why do i have 5 group messages with the same people  
219,rt  why do i have 5 group messages with the same people  
220,rt  why do i have 5 group messages with the same people  
221,i love my  iphone6   mobilephone  
222, apple inc   aapl news analysis  did apple inc (aapl) ceo steve jobs consider himself above the law? 
223,rt  why do i have 5 group messages with the same people  
224,   i love you 
225," if i dismiss a call when it comes in, i did not 'miss' that call  can't the notification accurately reflect my action?"
226,im sick of your fucking shit 
227,i had the facebook app but my dumbass deleted it and now i can't redownload cause it says i need ios7 suck my fucking ass 
228, get cha shit together and fix my phone !!!
229, ick yo  autocorrect ruse
230,ok i muted the groupchat but i still get notifications uhm  what the hell
231,  will it give me edward scissorhands length fingers? because then i might be able to use this!
232,"sitting here waiting for more than half hour for my 'appt'  , watching 'geniuses' talk crap about their customers in the open, nice   "
233,loving my  carplay unit in my honda fit!  works great   i just hope more apps make it to carplay!  come on 
234,it would be nice if i could type more than one sentence without my computer freezing up     
235,"yo  wtf is wrong with you people? make it easier to delete contacts already, gosh damn it!!!"
236, why does the clock disappear in siri? it's super annoying when you want to set an alarm and suddenly you can't see the time 
237,my dad called now my musics arent playing jesus christ  problematic
238,fuck you fuck you so much i hate you 
239,l a  school district officially ends  1 3 billion ipad initiative in the midst of an fbi investigation   aapl
240,well imessage doesn't work thanks 
241,next year my goal is to be  apple free  tired of their bs   
242,"  yep, the only jump i'd make from my 5 now is to 5s  at least good deals on 5s now with 6 out "
243,  my 5s was great   just had a cracked screen  amp  a dying battery  i'm thinking about trading the 6 in for a new 5s  (
244,   is the most innovative company of 2014  via   innovation
245,also i've had my iphone 6 for two days and it's already broken shout out to 
246,"uh, is  making fun of french people (and being rude) in their new iphone 6 'call from anywhere' ad?! that's how it seemed to me "
247,i am feeling creatively stifled by the current emoji selection 
248, fuck you bitches my phones abrick and stuck on the apple logo
249,we know raul is just going to love his brand new art supplies!  thank you  
250,"forget  apple, here are better  tech stocks to buy   the motley fool  aapl "
251,one good thing about waiting in the  store for my 'appointment' is that i cleared up the backlog of emails from my inbox
252,imessage isn't working thanks 
253,no at typo changing my words  get it together 
254,"hey  could you make an iphone charger that lasts more than a month? sincerely, a broke high school student who wants her phone charged"
255,fuck apple for allowing ppl to access the camera when the phone is locked fuck you fuck you 
256,"why don't we have an ape emoji on iphones? or a middle finger? it's almost 2015, step it up "
257, i am beginning to think your products are crap
258,my iphone 6 finally came after almost 3 weeks don't think i'll forget this 
259,you need to send me my iphone before i cancel  
260,this is the 6th charger i've had to buy for my mac and they gave me the wrong one   applesuport fix this wrongdoing give me a free one
261,fuck 
262,liberals should protest corporate greed and throw away all their nifty  products   shutitdown  dcferguson
263,dear apple this is the worse service ever  
264,"since all the software updates, my iphone, ipad and ipod touch will not charge and are royally fucked up "
265,s o  for this really great charger that works so well!  not
266,cheeky   very cheeky     no dice though    you can't own 'app store' it's a description not a product   
267, get your shit together with group chats on ios8
268,"  but then how could they post to twitter (nasdaq  twtr), instagram (nasdaq  fb) or shutterfly (nasdaq  sfly)?  shutitdown"
269,"fuck my fucking phone its fucking tripping im fucking tired of this fucking bullshit  
 
im holding you responsible "
270,   why is my computer so slow
271,rt     why is my computer so slow
272,"really need tap to tweet back, "
273," peterhewer  iphone 6 claimed to copy a chinese smartphone design  ouch 
 
"
274,love   iphone5 but i need to upgrade soon  
275,    what about a penis emoji? i'm sick of implying that my dick looks like an eggplant 
276,love my   macbookpro  best ever  
277, there isn't a puke emoji i'm pissed fix it fat
278,i have 170 pictures and my storage is full  get it together
279,rt  i have 170 pictures and my storage is full  get it together
280,why  aapl stock had a mini flash crash  money morning  nothing the analysts suggested would make a widely held    
281,that would be brilliant! it's sad  doesn't allow mozilla's better engine   opensource
282,apples earbuds are so fucking weak they literally cannot withstand any god damn damage i have wasted so much money fuck 
283,why is tom automatically capitalized and tommy isn't??  you need to fix this   autocorrectprobs
284,why is it so difficult to qualify for a  geniusbar appointment at  these days?  unneccessary
285,even  microsoft agrees  iphone6 is mind blowing   aapl  design  product  innovation  mobile 
286,god dammit fuck you 
287,rt  god dammit fuck you 
288, do something you cunt 
289,fuck you  
290,i could punch whoever came up with the new  commercials   makeitstop  ahhhhhhh
291, fuck you
292,"hey  can i catch a fucking maverick of a wave on an iphone? 
didn't think so   surfsupsamsung"
293,dear  please fix your awdl issues   
294, what english is this? what do you mean? 
295,can  ipad conquer the enterprise? only if  has the guts to license  ios  
296, really need to up their battery game  because ain't no one got time to charge their phones  furstrated  annoyed  charging
297,yea let me just pay 600 dollars for phone so it dies at 30  fix your shit 
298,  wrong at homie
299,  haha switch to 
300,rt  yea let me just pay 600 dollars for phone so it dies at 30  fix your shit 
301,  i had the same thing  bought an iphone 5 when it came out and had to replace the battery after a month or two 
302,"  lol iphone,weak  get on that lumia level bruh"
303,great fcp x update from  today  that will do nicely!  video   editing
304,rt  yea let me just pay 600 dollars for phone so it dies at 30  fix your shit 
305,still can't merge multiple apple id's   fail 
306,  dyslexic iphone 6 users rejoice! thanks to  and 'voice text' hard to spell words are a thing of the past! 
307,    i know my iphone  dies at like 20 
308,realised the reason  make huge phones is because they f  ked safari up by not allowing us to hide the address bar
309,still can't merge multiple apple id's   fail 
310,why is there no black heart emoji 
311,rt    rolled out  webgl to  ios8 3 months ago and just overtook   in webgl support levels 
312,"   diag and support suck a lot! it says 'cannot connect server, try again', then 'ticket not found'  disgusting "
313,"brilliant tech! no more broken screens in  festivals,  via   "
314,i've sent my computer out to  twice for repairs in the last month and each time it comes back with a new problem something isn't right
315,why? why have you put gay stuff in my fucking iphone  
316,  why do your computers like to crash on dead week before finals?
317, its the iupdate process that is so incensing  what rubbish  hopefully  will be irrelevant again soon 
318, fix your apps     if i click play it ain't playin'      so it ain't really a play button is it?
319,i'm going to press the play button!! wait no i'm not  (  fix your apps 
320,it's just dawned on me that i've probably spent more on replacing frayed   non functioning iphone cables than i've spent on iphones 
321, iupdate is new since i needed a duns two years ago (web form   phone call)   ironic for an  req that it only supports ie8 
322,' i've probably spent more on replacing non functioning iphone cables than i've spent on iphones     switchtolumia
323,"l a  school district halts ipad contract as fbi seizes documents  aapl  aapl 
"
324,    this is disrespectful
325,"apple's ios devices accounted for 78  of record setting cyber monday mobile sales  aapl  aapl 
"
326,you're probably reading this on an iphone built by the largest company around  aapl they broke more records   impress
327,how is 'never' interpreted as 'ask me again annoyingly soon' when ios apps ask to be rated?   tell your devs never means never
328,"apple's iphone crushes samsung's galaxy by more than 6 to1 in japan  aapl  aapl 
"
329,"   apple   sales soar after launch of  iphone6  ( wednesday, 3  december) "
330,so got the new  iphone6 and growing to love it  a bit bulky coming from the iphone5 but nice feel thanks  now waiting for  applewatch
331, stevejobs' emails show how he wanted to smear competitors as '  hackers'  aapl 
332, stop liking man 
333,yo i didnt touch my phone at all and right when i disconnected it from the charger it went down 3   we are gonna scrap right now
334,rt  apple's pt raised by jmp securities to  150 00  outperform rating    aapl  aapl
335,go apple! looks like a little squeeze again  )  aapl  stocks
336,"my 17' macbook pro boots with pink vertical stripes, a gray screen, then shutting down and repeating   help  "
337,gosh darnit  i dont know what the cloud is
338,  we've previously had to deal with this issue it's really annoying  try to reset the nvram 
339,tell ur update to stop capitalizing everything 
340,  seems to ignore any key presses like command r and is just doing its own thing 
341,  their autocorrect is so shit too
342,"  but it won't fix the problem for good, could back and you might have to change the logic board, check with  apple genius  ("
343," kantar     apple  on track for 'record quarter' as  iphone6 sales bump up its      ( wednesday, 3  december) "
344,  get the cloud to butt extension on your web browser
345,  yotaphone2 is the future of cell phones   and  should be scared 
346,cnbctv    cramer   apple has no real competition  aapl 
347,cnbctv    chromecast beats  appletv  aapl 
348,  i think it's like 2011? can't look right now 
349,"lowkey, yosemite trash af i cant use my logic express 9 anymore  yall irritating the fuck outta me   sincerely a disgruntled person"
350,  yes it seems to fix it good the first time and then as time passes it deterioates until you have to change logic board
351,   sorry that you're going through that hope you get this fix it was a real pain for us too  but apple care cover it for free
352,they gotta do something '   so trash my computer keeps freezing  amp  being dumb af after i upgraded to yosemite
353,  doesn't have a twitter  this is your problem now
354,  yeah no applecare here haha 
355,"huge iphone 6 sales push ios market share up worldwide  report  aapl  aapl 
"
356,"taking apple's lead, amazon gets physical   news   harvard business school   "
357,steve job's deposition in  ipod lawsuit could cost   1 billion   musicbiz  musicindustry  apple
358,7 awesome paid  iphone and  ipad apps that are free for a limited time via   aapl 
359,did anyone update their yosemite? my macbook is running like shit    apple
360,"kantar  iphone 6 helps apple gain share over android, iphone 5c outselling iphone 6 plus in us  aapl  aapl 
"
361,"  that sucks, don't know what it cost in dollars but for us that was   400  ("
362,"  ios updates bricked trish's phone too, seems like the apple is getting a bit rotten"
363,what's at the core of  new  ios7? excellent updates for your phone's  mobilesecurity   mcafee   
364,guys at  is this serious?  yosemite full of stupid and ugly bugs  feeling  sad  (cc  
365, iphone6  plus grabs 41  of u s   phablet sales  aapl 
366,can't believe  said melted keys on mac pro is not under warranty for a machine less than a year old  asking for   500 to repair 
367,hey  are you even thinking about fixing your wifi issues?  yosemiteproblems
368,  adds some heavyhitting  digitalhealth partners to rival  via  
369,"if you listen to  you'd think the only way to keep your brain sharp is thru certain apps they provide sell  uh   reading, muhfugs"
370,"the customer service from   is the best  in for years having and enjoying their products, i have zero complains  thanks  apple"
371,   when i have gone through 6 iphone chargers in the past montht hank s 
372,rt  steve job's deposition in  ipod lawsuit could cost   1 billion   musicbiz  musicindustry  apple
373,  thanks for the info  genius was able to get the computer booted by forcing the discreet video card on boot
374,every new iphone or update spellcheck suppress my greatness more and more   stop trying to tell me what to type 
375,you know why mac users were so happy to get turdbolt? because  eschewed esata since its inception  nut kicks to dead steve 
376,"more expensive  products failing after less than 18 months   no warranty, no recourse  why is it we buy this junk again?"
377,got to hear about the new patent by apple     and that's a quite innovative idea       the mobile screen will never break in future
378,  yeay! glad it all worked out for you  )
379, pls let me know when yr sorti out problems wi ipadmini its freezing slow 
380,whoever downgrades from a iphone 6 to a 5s obviously doesn't understand the extra 20  battery life  every morning my 5s is dead  
381,  why'd you do this to us?!
382,  fuck you apple
383,this new phone sucks i can't make it stand up or on its side i can't wait for the iphone 7  fix this you dingles
384,idk if it's my phone or what ! ip6 ain't shit but problems   fix this shit !!
385,"the iphone 6 may have a longer upgrade cycle   if so, expect unit sales to fall  aapl  aapl 
"
386,waiting a week for a duns number is preventing me from being able to build and release a client's ios app   why do you hate me so?
387,"last month ip cable this month earpiece, give me a break "
388,"more evidence that apple, inc  needs to refresh apple tv   aapl"
389, sometimes i have to restart my phone to make siri do speak selection and it's annoying  fixit
390, aapl apple back in court with  1 billion on the line   
391,"companies i admire      it must rocks to work there, because mainly of their boss and their culture "
392,dear  karen wins for best customer service ever  she waited on hold for 12 minutes to help me while i waited on hold w  my bank
393,   thanks so much!
394,julian robertson still bullish on apple inc    aapl
395,"apple's iphone gained significant share in the us, japan, germany and great britain  via   aapl  iphone6"
396,why did  send me a new computer today and it is broken     whyamihavingtomakegeniusbarappointmentsalready
397,"ok, utterly rediculous! takes 2 hrs to do a simple thing like syncing a ringtone? itunes accessability is horific! again! rediculous! "
398,rt  this new phone sucks i can't make it stand up or on its side i can't wait for the iphone 7  fix this you dingles
399,goodbye graphics problems  thank you  for such great customer service  
400,goodbye graphics problems  thank you  for such great customer service  
401, apple dominates mobile online shopping at 78 percent in us  aapl 
402,hey  i think u need a new product  ipster
403, now i'm being told because it was an  product the price can't be overrided  must pay full price then call back for an
404,my phone died on 23   what the fuck is this
405,i just got my powerbeats2 back from repair  shoutout to  x 
406,   happy to help  if u use kind words  )  using apple process is free and fast   dm with ?
407,note to  mail still has trouble sending   the last update didn't fix it   mail that doesn't send?  not so useful 
408,  good we got a new shiny macs too so we will keep this handy!
409,"fucking goddamn stupid   , ur too fucked up!  justsayin  itunes"
410,my phone dropped and this happened??  you wanna help me out 
411,"apple's iphone gained significant share in the us, japan, germany and great britain  aapl  aapl 
"
412,rt  my phone died on 23   what the fuck is this
413,activation of airdrop on ios 8 1 1 kills wifi !! what have you done  ???
414,   ios8  iphone6  issues device with voicemail  4 the phone being a phone it seems under developed  ie listen message and take a note!
415,"apple's iphone 6 plus amazingly captures 41  of the phablet market right out of the gate  aapl  aapl 
"
416,"the iphone 6 plus will be huge in china this spring  aapl  aapl 
"
417, support said can't test nfc so can't assume my phone is not working  keep saying can't does help  i'll go back to 
418,  that rage when dealing  geniuses when they maintain 'it's not a known issue' when a simple google search shows it's a big 1
419,"barclays raises aapl price target by 17  to  140  aapl  aapl 
"
420, help! my mac memory has been cleared and now it's asking for a password? it's not the old one and i can't get on it!
421, happy new month
422,   apples are meant to be healthy
423,   but these phones make people fat lol
424, siri never understands me  she just said she was 'new 2 my language' and didn't get me  i speak english without major accent   apple 
425,block trade detected in  aapl
426,thanks   and  for the great leadership federal grand jury subpoenaed documents from l a  unified 
427," you're selling this lightning cord, doesn't work   accessorymaynotbesupported  what's the deal? "
428,"my  badge finally works at my work site, just tore the guest sticker badge into many, many pieces     feel like a new man!"
429, i could of just gone to canal street for a knockoff  cmonman and  why must i pay  30 for a lightning cord?
430,another lawsuit against    this one is about  ipod antitrust tactics in  itunes 
431, to pay  24 million for infringing on ancient pager  patents  sure   why not   intellectualproperty  ip  pgsip
432, why can't i fnd netbot on app store !? help asap
433,wow  yall needa step it up  rt  music and snapchat at the same damn time  thank you  note4
434,you should be able to leave facetime video messages 
435, can not believe that  are still with you given the nature of what u have been accused of    disgusting 
436,why can't i hide the gray controller on the dvd player? what heck?  
437," yeah, it's not for everyone  i sold my soul to  a while ago  thanks for the link!"
438,   wait no im okay here but yeah actually we should burn it down
439,  where the fuck is my phone it shouldn't take this long 
440,great piece from  on   amp  the new  red  app store   profits from exclusive content go to  
441, lolol  stupid phone  should say best and most varied   sort this phone out  apols 
442,"shockingly, imessage on the desktop is fucked up again  great work,  seriously, on point with network services as only you can do "
443," ust sayin',  aapl is still the king    "
444,"   what if i don't want my money going to africa to fight aids?  we have problems here we need to fight  
 
 apple  africa   cnn"
445,my laptop battery went straight from 60  to 3  
446,"last yeari bought 'superman' and 'superman returns' from  now they aren't available for me to stream, and  has no real answer "
447,i will definitely think carefully in the future about buying something from  if  support can't even tell me what's going wrong 
448,this 16gb is going to kill me  im this close to taking a shit on my phone  
